Smiles;RON;MON
C[C@@H]1CC[C@H](C)C1;79.2;73.1
C[C@H]1CCCC[C@H]1C;80.9;78.6
C[C@H]1CCC[C@H](C)C1;66.9;64.2
C[C@H]1CC[C@@H](CC1)C;68.3;62.2
C[C@H]1CCC[C@@H](C1C)C;86.2;82.5
C[C@H]1C[C@H](C[C@H](C1)C)C;59.1;56.4
CCC[C@@H]1CCCC[C@H]1C;29.4;38.8
CC1CCC(CC1C)(C)C(C)C;96.0;90.0
C1CCCCCC1;38.8;40.2
CCC1CCCCCC1;28.0;30.0
C1CCCCCCC1;71.0;58.1
C1CC1CC2CC2;95.1;72.1
C1CCC(C1)C2CCCC2;9.7;9.7
CCC1CC2CCC1C2;51.9;49.7
C1CC[C@H]2CCC[C@H]2C1;70.0;64.1
C1CC[C@@H]2CCC[C@H]2C1;58.5;48.8
CCC1CCCCC1C;74.0;38.8
CCC1CCCC(C1)C;58.0;
CCC1CCC(CC1)C;54.0;
CCCC1CCCC(C1)C;39.0;
CCCC1CCC(CC1)C;34.0;
CCCCC1CCCCC1C;39.0;
CCCCC1CCCC(C1)C;34.0;
CCCCC1CCC(CC1)C;28.0;
C1CC=CC1;93.3;69.7
C1CC=CC=C1;74.8;53.0
CC1=CCC=CC1;75.0;42.1
C1C=CC=C1;103.5;86.1
CC1=CCCC1;93.6;72.9
C1CCC=CC1;83.9;63.0
CC1=CCCCC1;89.15;71.95
CC1CCC=CC1;84.1;67.0
CC1=C(CCCC1)C;89.7;72.2
CC1(CCC=CC1)C;96.2;79.85
CC1C[C]=CC(C1)(C)C;96.5;82.8
CC1CC(CC=C1)(C)C;95.5;80.9
C=CC1CCC=CC1;77.0;57.7
CC1=C(CC(CC1)(C)C(=C)C)C;92.8;76.2
CCC1=CCCC1;90.3;72.0
CCC1CCC=C1;90.8;71.4
C1C=CC2C1C3CC2C=C3;107.4;95.9
CC1=CCC2CC1C2(C)C;83.1;68.6
CC1(C2CCC(=C)C1C2)C;80.6;60.3
CCC1=CCCCC1;85.25;70.5
CC1=CCC(CC1)C(=C)C;88.85;73.2
COC(C)=O;120.1;120.1
CCCC(=O)OC;107.2;105.0
CC(C)C(=O)OC;103.6;104.7
CCCCC(=O)OC;103.4;101.1
CCC(C)C(=O)OC;111.1;99.1
CCCCCC(=O)OC;87.3;84.0
CCOC(C)=O;118.0;120.1
CCCC(=O)OCC;115.4;106.07
CCOC(=O)C(C)C;110.3;109.5
CC(C)OC(C)=O;120.0;120.0
CCCCOC(C)=O;100.9;100.07
CC(C)COC(C)=O;108.7;112.3
CC(C)CCOC(C)=O;100.6;97.2
CCOC(=O)CCC(=O)C;110.0;102.0
CCOC(=O)C(C)O;107.5;108.1
CCCCCC(=O)OCC;76.5;74.7
CCCCOC(=O)CCC;97.0;90.7
CCCCC(=O)OCC;98.9;92.35
CCCCOC(=O)CCC(=O)C;98.0;96.0
CCC(C)=O;113.0;106.0
CCCC(=O)C;105.7;103.13
CCC(=O)CC;106.8;99.9
CC(C)C(C)=O;108.9;102.2
CCCC(=O)CC;101.9;93.5
CC(C)CC(=O)C;105.7;105.5
CCCC(=O)CCC;86.6;89.1
CC(C)C(=O)C(C)C;99.0;92.5
O=C1CCCC1;101.2;89.27
C1CCC(=O)CC1;101.2;87.7
CCCCCC(=O)C;69.0;78.1
COC(C)(C)C;118.3;101.3
CCOC(C)(C)C;118.67;102.67
CC1CCCO1;86.0;73.0
CC1CCC(C)O1;92.2;80.2
O1C=CC=C1;108.73;91.6
CC1=CC=CO1;102.83;86.07
CC1=CC=C(C)O1;101.3;88.1
COC1=CC=CC=C1;103.15;91.25
CC1=CC=C(C=C1)OC;103.33;92.0
C1=COC(=C1)C=O;53.0;
C1=COC(=C1)CO;102.0;
CC1CCC(=O)O1;100.0;100.0
C1=CC=C(C=C1)CO;103.9;
COC(C1=CC=CC=C1)OC;100.5;
COC(=O)C1=CC=CC=C1;109.7;
C1CCOCC1;52.2;35.4
C1CC=COC1;66.5;48.7
C1CCOC1;72.9;64.8
CCC1(OC(C(O1)C)C)C;93.5;86.7
CC(C)OC(C)C;102.5;98.9
CCC(C)(C)OC;109.0;99.0
